,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.099019,0.193691,0.21,0.27
Normalized EBITDA,265941000.0,111002000.0,13094000.0,25568000.0
Net Income From Continuing Operation Net Minority Interest,183746000.0,48568000.0,-50160000.0,-20745000.0
Reconciled Depreciation,54933000.0,44465000.0,34629000.0,22938000.0
Reconciled Cost Of Revenue,515531000.0,409908000.0,346743000.0,234245000.0
EBITDA,265941000.0,111002000.0,13094000.0,25568000.0
EBIT,211008000.0,66537000.0,-21535000.0,2630000.0
Net Interest Income,148253000.0,97157000.0,18396000.0,360000.0
Interest Expense,7068000.0,6302000.0,16535000.0,21052000.0
Interest Income,155321000.0,103459000.0,34931000.0,21412000.0
Normalized Income,183746000.0,48568000.0,-50160000.0,-20745000.0
Net Income From Continuing And Discontinued Operation,183746000.0,48568000.0,-50160000.0,-20745000.0
Total Expenses,2629991000.0,2161823000.0,1733795000.0,1047940000.0
Total Operating Income As Reported,54284000.0,-33464000.0,-58695000.0,-19156000.0
Diluted Average Shares,358636000.0,350292000.0,315410000.0,309048000.0
Basic Average Shares,336172000.0,324033000.0,315410000.0,309048000.0
Diluted EPS,0.52,0.14,-0.16,-0.07
Basic EPS,0.55,0.15,-0.16,-0.07
Diluted NI Availto Com Stockholders,183746000.0,48568000.0,-50160000.0,-20745000.0
Net Income Common Stockholders,183746000.0,48568000.0,-50160000.0,-20745000.0
Net Income,183746000.0,48568000.0,-50160000.0,-20745000.0
Net Income Including Noncontrolling Interests,183746000.0,48568000.0,-50160000.0,-20745000.0
Net Income Continuous Operations,183746000.0,48568000.0,-50160000.0,-20745000.0
Tax Provision,20194000.0,11667000.0,12090000.0,2323000.0
Pretax Income,203940000.0,60235000.0,-38070000.0,-18422000.0
Other Income Expense,1403000.0,-3458000.0,2229000.0,374000.0
Other Non Operating Income Expenses,1403000.0,-3458000.0,2229000.0,374000.0
Net Non Operating Interest Income Expense,148253000.0,97157000.0,18396000.0,360000.0
Interest Expense Non Operating,7068000.0,6302000.0,16535000.0,21052000.0
Interest Income Non Operating,155321000.0,103459000.0,34931000.0,21412000.0
Operating Income,54284000.0,-33464000.0,-58695000.0,-19156000.0
Operating Expense,2114460000.0,1751915000.0,1387052000.0,813695000.0
Research And Development,1152703000.0,962447000.0,752351000.0,419769000.0
Selling General And Administration,961757000.0,789468000.0,634701000.0,393926000.0
Selling And Marketing Expense,756605000.0,609276000.0,495288000.0,299497000.0
General And Administrative Expense,205152000.0,180192000.0,139413000.0,94429000.0
Other Gand A,205152000.0,180192000.0,139413000.0,94429000.0
Gross Profit,2168744000.0,1718451000.0,1328357000.0,794539000.0
Cost Of Revenue,515531000.0,409908000.0,346743000.0,234245000.0
Total Revenue,2684275000.0,2128359000.0,1675100000.0,1028784000.0
Operating Revenue,2684275000.0,2128359000.0,1675100000.0,1028784000.0
