,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.052045,0.165644,0.157258,0.207219,0.117851
Net Income From Continuing Operation Net Minority Interest,255000000.0,680000000.0,210000000.0,-593000000.0,509000000.0
EBIT,307000000.0,853000000.0,286000000.0,-711000000.0,615000000.0
Net Interest Income,-38000000.0,-38000000.0,-38000000.0,-37000000.0,-38000000.0
Interest Expense,38000000.0,38000000.0,38000000.0,37000000.0,38000000.0
Interest Income,7000000.0,2000000.0,12000000.0,6000000.0,5000000.0
Normalized Income,255000000.0,680000000.0,210000000.0,-593000000.0,509000000.0
Net Income From Continuing And Discontinued Operation,255000000.0,680000000.0,210000000.0,-593000000.0,509000000.0
Total Expenses,3986000000.0,3589000000.0,3989000000.0,5359000000.0,3673000000.0
Diluted Average Shares,41871921.0,42236025.0,42857143.0,42478510.0,43135593.0
Basic Average Shares,41871921.0,42236025.0,42857143.0,42478510.0,43135593.0
Diluted EPS,6.09,16.1,4.9,-13.96,11.8
Basic EPS,6.09,16.1,4.9,-13.96,11.8
Diluted NI Availto Com Stockholders,252000000.0,672000000.0,208000000.0,-585000000.0,503000000.0
Net Income Common Stockholders,252000000.0,672000000.0,208000000.0,-585000000.0,503000000.0
Otherunder Preferred Stock Dividend,3000000.0,8000000.0,2000000.0,-8000000.0,6000000.0
Net Income,255000000.0,680000000.0,210000000.0,-593000000.0,509000000.0
Net Income Including Noncontrolling Interests,255000000.0,680000000.0,210000000.0,-593000000.0,509000000.0
Net Income Continuous Operations,255000000.0,680000000.0,209000000.0,-593000000.0,509000000.0
Tax Provision,14000000.0,135000000.0,39000000.0,-155000000.0,68000000.0
Pretax Income,269000000.0,815000000.0,248000000.0,-748000000.0,577000000.0
Other Income Expense,-29000000.0,-27000000.0,-73000000.0,169000000.0,-102000000.0
Net Non Operating Interest Income Expense,-38000000.0,-38000000.0,-38000000.0,-37000000.0,-38000000.0
Interest Expense Non Operating,38000000.0,38000000.0,38000000.0,37000000.0,38000000.0
Other Operating Expenses,39000000.0,33000000.0,21000000.0,26000000.0,25000000.0
Total Revenue,4254000000.0,4404000000.0,4238000000.0,4614000000.0,4251000000.0
Operating Revenue,4254000000.0,4404000000.0,4238000000.0,4614000000.0,4251000000.0
Loss Adjustment Expense,2837000000.0,2472000000.0,2893000000.0,4173000000.0,2584000000.0
Net Policyholder Benefits And Claims,2837000000.0,2472000000.0,2893000000.0,4173000000.0,2584000000.0
