,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-17518518.518519,11044534.412955,7042253.521127,-12054794.520548,3869565.217391
Tax Rate For Calcs,0.318519,0.251012,0.28169,0.136986,0.276398
Normalized EBITDA,768000000.0,672000000.0,483000000.0,1054000000.0,554000000.0
Total Unusual Items,-55000000.0,44000000.0,25000000.0,-88000000.0,14000000.0
Total Unusual Items Excluding Goodwill,-55000000.0,44000000.0,25000000.0,-88000000.0,14000000.0
Net Income From Continuing Operation Net Minority Interest,169000000.0,354000000.0,201000000.0,602000000.0,221000000.0
Reconciled Depreciation,241000000.0,116000000.0,120000000.0,123000000.0,119000000.0
Reconciled Cost Of Revenue,21092000000.0,12031000000.0,11046000000.0,12461000000.0,12136000000.0
EBITDA,713000000.0,716000000.0,508000000.0,966000000.0,568000000.0
EBIT,472000000.0,600000000.0,388000000.0,843000000.0,449000000.0
Net Interest Income,-145000000.0,-60000000.0,-45000000.0,-62000000.0,-94000000.0
Interest Expense,202000000.0,106000000.0,104000000.0,113000000.0,127000000.0
Interest Income,57000000.0,46000000.0,59000000.0,51000000.0,33000000.0
Normalized Income,206481481.481481,321044534.412955,183042253.521127,677945205.479452,210869565.217391
Net Income From Continuing And Discontinued Operation,166000000.0,354000000.0,201000000.0,602000000.0,221000000.0
Total Expenses,21770000000.0,12449000000.0,11426000000.0,12912000000.0,12573000000.0
Diluted Average Shares,198477018.0,136000000.0,135000000.0,138000000.0,142000000.0
Basic Average Shares,197111085.0,134434752.0,134396552.0,133964235.0,139625014.0
Diluted EPS,0.84,2.61,1.48,4.36,1.56
Basic EPS,0.84,2.633248,1.495574,4.493737,1.582811
Diluted NI Availto Com Stockholders,166000000.0,354000000.0,201000000.0,602000000.0,221000000.0
Net Income Common Stockholders,166000000.0,354000000.0,201000000.0,602000000.0,221000000.0
Net Income,166000000.0,354000000.0,201000000.0,602000000.0,221000000.0
Minority Interests,-15000000.0,-16000000.0,-3000000.0,-28000000.0,-12000000.0
Net Income Including Noncontrolling Interests,181000000.0,370000000.0,204000000.0,630000000.0,233000000.0
Net Income Discontinuous Operations,-3000000.0,,,,
Net Income Continuous Operations,184000000.0,370000000.0,204000000.0,630000000.0,233000000.0
Tax Provision,86000000.0,124000000.0,80000000.0,100000000.0,89000000.0
Pretax Income,270000000.0,494000000.0,284000000.0,730000000.0,322000000.0
Other Income Expense,30000000.0,234000000.0,112000000.0,162000000.0,81000000.0
Other Non Operating Income Expenses,77000000.0,187000000.0,82000000.0,230000000.0,87000000.0
Earnings From Equity Interest,8000000.0,3000000.0,5000000.0,20000000.0,-20000000.0
Gain On Sale Of Security,-55000000.0,44000000.0,25000000.0,-88000000.0,14000000.0
Net Non Operating Interest Income Expense,-145000000.0,-60000000.0,-45000000.0,-62000000.0,-94000000.0
Interest Expense Non Operating,202000000.0,106000000.0,104000000.0,113000000.0,127000000.0
Interest Income Non Operating,57000000.0,46000000.0,59000000.0,51000000.0,33000000.0
Operating Income,385000000.0,320000000.0,217000000.0,630000000.0,335000000.0
Operating Expense,678000000.0,418000000.0,380000000.0,451000000.0,437000000.0
Selling General And Administration,678000000.0,418000000.0,380000000.0,451000000.0,437000000.0
Gross Profit,1063000000.0,738000000.0,597000000.0,1081000000.0,772000000.0
Cost Of Revenue,21092000000.0,12031000000.0,11046000000.0,12461000000.0,12136000000.0
Total Revenue,22155000000.0,12769000000.0,11643000000.0,13542000000.0,12908000000.0
Operating Revenue,22155000000.0,12769000000.0,11643000000.0,13542000000.0,12908000000.0
