,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2656000000.0,1480000000.0,-509000000.0,1800000000.0,3287000000.0
Repurchase Of Capital Stock,-334000000.0,-336000000.0,-262000000.0,-721000000.0,-130000000.0
Repayment Of Debt,-3000000000.0,-5700000000.0,-4750000000.0,-10806000000.0,-7661000000.0
Issuance Of Debt,4514000000.0,5225000000.0,3161000000.0,5652000000.0,3179000000.0
Issuance Of Capital Stock,27000000.0,9000000.0,25000000.0,9000000.0,27000000.0
Interest Paid Supplemental Data,2801000000.0,2805000000.0,2706000000.0,3466000000.0,3272000000.0
Income Tax Paid Supplemental Data,104000000.0,315000000.0,77000000.0,102000000.0,44000000.0
End Cash Position,38871000000.0,30394000000.0,38400000000.0,46251000000.0,41186000000.0
Beginning Cash Position,30394000000.0,38400000000.0,46251000000.0,41186000000.0,39281000000.0
Changes In Cash,8477000000.0,-8006000000.0,-7851000000.0,5065000000.0,1905000000.0
Financing Cash Flow,6641000000.0,2222000000.0,-6362000000.0,-3870000000.0,2400000000.0
Cash Flow From Continuing Financing Activities,6641000000.0,2222000000.0,-6362000000.0,-3870000000.0,2400000000.0
Cash Dividends Paid,-749000000.0,-725000000.0,-710000000.0,-738000000.0,-728000000.0
Preferred Stock Dividend Paid,-71000000.0,-83000000.0,-71000000.0,-94000000.0,-82000000.0
Common Stock Dividend Paid,-678000000.0,-642000000.0,-639000000.0,-644000000.0,-646000000.0
Net Common Stock Issuance,-307000000.0,-327000000.0,-237000000.0,-212000000.0,-103000000.0
Common Stock Payments,-334000000.0,-336000000.0,-262000000.0,-221000000.0,-130000000.0
Common Stock Issuance,27000000.0,9000000.0,25000000.0,9000000.0,27000000.0
Net Issuance Payments Of Debt,1514000000.0,-475000000.0,-1589000000.0,-5154000000.0,-4482000000.0
Net Long Term Debt Issuance,1514000000.0,-475000000.0,-1589000000.0,-5154000000.0,-4482000000.0
Long Term Debt Payments,-3000000000.0,-5700000000.0,-4750000000.0,-10806000000.0,-7661000000.0
Long Term Debt Issuance,4514000000.0,5225000000.0,3161000000.0,5652000000.0,3179000000.0
Investing Cash Flow,-820000000.0,-11708000000.0,-980000000.0,7135000000.0,-3782000000.0
Cash Flow From Continuing Investing Activities,-820000000.0,-11708000000.0,-980000000.0,7135000000.0,-3782000000.0
Net Other Investing Changes,-827000000.0,-525000000.0,-145000000.0,-516000000.0,-230000000.0
Net Investment Purchase And Sale,1307000000.0,-3721000000.0,2263000000.0,3019000000.0,-2565000000.0
Sale Of Investment,5586000000.0,5174000000.0,6392000000.0,8601000000.0,6785000000.0
Purchase Of Investment,-4279000000.0,-8895000000.0,-4129000000.0,-5582000000.0,-9350000000.0
Operating Cash Flow,2656000000.0,1480000000.0,-509000000.0,1800000000.0,3287000000.0
Cash Flow From Continuing Operating Activities,2656000000.0,1480000000.0,-509000000.0,1800000000.0,3287000000.0
Change In Working Capital,229000000.0,-775000000.0,-2439000000.0,-1198000000.0,1509000000.0
Change In Other Working Capital,-1647000000.0,-151000000.0,-1495000000.0,287000000.0,-662000000.0
Change In Other Current Assets,863000000.0,818000000.0,964000000.0,-542000000.0,1580000000.0
Change In Payables And Accrued Expense,306000000.0,-784000000.0,-1611000000.0,-810000000.0,371000000.0
Change In Accrued Expense,306000000.0,-784000000.0,-1611000000.0,-810000000.0,371000000.0
Other Non Cash Items,253000000.0,148000000.0,-22000000.0,1133000000.0,-196000000.0
Asset Impairment Charge,94000000.0,137000000.0,191000000.0,-143000000.0,274000000.0
Deferred Tax,-10000000.0,-11000000.0,-47000000.0,59000000.0,-68000000.0
Deferred Income Tax,-10000000.0,-11000000.0,-47000000.0,59000000.0,-68000000.0
Depreciation Amortization Depletion,101000000.0,82000000.0,90000000.0,164000000.0,21000000.0
Depreciation And Amortization,101000000.0,82000000.0,90000000.0,164000000.0,21000000.0
Operating Gains Losses,15000000.0,1000000.0,5000000.0,8000000.0,0.0
Gain Loss On Investment Securities,0.0,,,2000000.0,-1000000.0
Net Income From Continuing Operations,1822000000.0,1643000000.0,1499000000.0,1627000000.0,1505000000.0
