,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Ordinary Shares Number,12077000000.0,12104000000.0,12155000000.0,12211000000.0,12264000000.0,,
Share Issued,12077000000.0,12104000000.0,12155000000.0,12211000000.0,12264000000.0,,
Net Debt,,2571000000.0,,,,,
Total Debt,33713000000.0,35559000000.0,23564000000.0,25461000000.0,26922000000.0,,
Tangible Book Value,353598000000.0,330581000000.0,313094000000.0,293199000000.0,282184000000.0,,
Invested Capital,408474000000.0,386523000000.0,357153000000.0,335967000000.0,324999000000.0,,
Working Capital,74397000000.0,78906000000.0,70398000000.0,74589000000.0,76738000000.0,,
Net Tangible Assets,353598000000.0,330581000000.0,313094000000.0,293199000000.0,282184000000.0,,
Capital Lease Obligations,12106000000.0,11952000000.0,11678000000.0,14578000000.0,16042000000.0,,
Common Stock Equity,386867000000.0,362916000000.0,345267000000.0,325084000000.0,314119000000.0,,
Total Capitalization,408474000000.0,386523000000.0,356153000000.0,335967000000.0,324999000000.0,,
Total Equity Gross Minority Interest,386867000000.0,362916000000.0,345267000000.0,325084000000.0,314119000000.0,,
Stockholders Equity,386867000000.0,362916000000.0,345267000000.0,325084000000.0,314119000000.0,,
Gains Losses Not Affecting Retained Earnings,-2054000000.0,-2127000000.0,-4086000000.0,-4800000000.0,-3228000000.0,,
Other Equity Adjustments,-2054000000.0,-2127000000.0,-4086000000.0,-4800000000.0,-3228000000.0,,
Retained Earnings,297226000000.0,275760000000.0,262628000000.0,245084000000.0,235317000000.0,,
Capital Stock,91695000000.0,89283000000.0,86725000000.0,84800000000.0,82030000000.0,,
Common Stock,91695000000.0,89283000000.0,86725000000.0,84800000000.0,82030000000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,149602000000.0,139137000000.0,130107000000.0,125172000000.0,116147000000.0,,
Total Non Current Liabilities Net Minority Interest,50052000000.0,51827000000.0,38453000000.0,36050000000.0,35344000000.0,,
Other Non Current Liabilities,6267000000.0,6241000000.0,6116000000.0,4694000000.0,1453000000.0,,
Tradeand Other Payables Non Current,10072000000.0,10027000000.0,9773000000.0,8782000000.0,8219000000.0,,
Non Current Deferred Liabilities,,,,,1721000000.0,1702000000.0,1407000000.0
Non Current Deferred Revenue,,,,,1015000000.0,985000000.0,921000000.0
Non Current Deferred Taxes Liabilities,,,,,706000000.0,717000000.0,486000000.0
Long Term Debt And Capital Lease Obligation,33713000000.0,35559000000.0,22564000000.0,22574000000.0,23951000000.0,,
Long Term Capital Lease Obligation,12106000000.0,11952000000.0,11678000000.0,11691000000.0,13071000000.0,,
Long Term Debt,21607000000.0,23607000000.0,10886000000.0,10883000000.0,10880000000.0,,
Current Liabilities,99550000000.0,87310000000.0,91654000000.0,89122000000.0,80803000000.0,,
Other Current Liabilities,10564000000.0,7099000000.0,6534000000.0,6322000000.0,6851000000.0,,
Current Deferred Liabilities,5542000000.0,4969000000.0,4908000000.0,5036000000.0,4896000000.0,,
Current Deferred Revenue,5542000000.0,4969000000.0,4908000000.0,5036000000.0,4896000000.0,,
Current Debt And Capital Lease Obligation,,,1000000000.0,2887000000.0,2971000000.0,2855000000.0,2874000000.0
Current Capital Lease Obligation,,,,2887000000.0,2971000000.0,2855000000.0,2874000000.0
Current Debt,,,1000000000.0,,,,
Other Current Borrowings,,,1000000000.0,,,,
Pensionand Other Post Retirement Benefit Plans Current,13944000000.0,12168000000.0,9984000000.0,15069000000.0,12908000000.0,,
Payables And Accrued Expenses,69500000000.0,63074000000.0,69228000000.0,59808000000.0,53177000000.0,,
Current Accrued Expenses,54399000000.0,50829000000.0,46682000000.0,48916000000.0,43489000000.0,,
Payables,15101000000.0,12245000000.0,22546000000.0,10892000000.0,9688000000.0,,
Other Payable,4004000000.0,3112000000.0,4889000000.0,,,,
Total Tax Payable,551000000.0,786000000.0,9160000000.0,2905000000.0,2639000000.0,,
Income Tax Payable,551000000.0,786000000.0,9160000000.0,2905000000.0,2639000000.0,,
Accounts Payable,10546000000.0,8347000000.0,8497000000.0,7987000000.0,7049000000.0,,
Total Assets,536469000000.0,502053000000.0,475374000000.0,450256000000.0,430266000000.0,,
Total Non Current Assets,362522000000.0,335837000000.0,313322000000.0,286545000000.0,272725000000.0,,
Other Non Current Assets,16811000000.0,14153000000.0,12950000000.0,14874000000.0,13867000000.0,,
Non Current Deferred Assets,10331000000.0,19289000000.0,18386000000.0,17180000000.0,15915000000.0,,
