,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.275524,0.236348,0.267472,0.250396,0.323467
Normalized EBITDA,198800000.0,160000000.0,231100000.0,192289000.0,147161000.0
Net Income From Continuing Operation Net Minority Interest,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Reconciled Depreciation,44900000.0,42000000.0,40000000.0,39742000.0,38058000.0
Reconciled Cost Of Revenue,64100000.0,68300000.0,66200000.0,65461000.0,70836000.0
EBITDA,198800000.0,160000000.0,231100000.0,192289000.0,147161000.0
EBIT,153900000.0,118000000.0,191100000.0,152547000.0,109103000.0
Net Interest Income,-1100000.0,-800000.0,-800000.0,-1047000.0,-789000.0
Interest Expense,1100000.0,800000.0,800000.0,1047000.0,789000.0
Normalized Income,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Net Income From Continuing And Discontinued Operation,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Total Expenses,380700000.0,371300000.0,345400000.0,345401000.0,347060000.0
Total Operating Income As Reported,112600000.0,112300000.0,185100000.0,148472000.0,104874000.0
Diluted Average Shares,56400000.0,56500000.0,56300000.0,56200000.0,55964000.0
Basic Average Shares,56100000.0,56100000.0,56000000.0,55900000.0,55929000.0
Diluted EPS,1.96,1.58,2.48,2.02,1.31
Basic EPS,1.97,1.59,2.49,2.03,1.31
Diluted NI Availto Com Stockholders,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Net Income Common Stockholders,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Net Income,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Net Income Including Noncontrolling Interests,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Net Income Continuous Operations,110700000.0,89500000.0,139400000.0,113565000.0,73278000.0
Tax Provision,42100000.0,27700000.0,50900000.0,37935000.0,35036000.0
Pretax Income,152800000.0,117200000.0,190300000.0,151500000.0,108314000.0
Other Income Expense,41300000.0,5700000.0,6000000.0,4075000.0,4229000.0
Other Non Operating Income Expenses,41300000.0,5700000.0,6000000.0,4075000.0,4229000.0
Net Non Operating Interest Income Expense,-1100000.0,-800000.0,-800000.0,-1047000.0,-789000.0
Interest Expense Non Operating,1100000.0,800000.0,800000.0,1047000.0,789000.0
Operating Income,112600000.0,112300000.0,185100000.0,148472000.0,104874000.0
Operating Expense,295300000.0,283800000.0,260800000.0,261669000.0,258707000.0
Depreciation Amortization Depletion Income Statement,23600000.0,22800000.0,21600000.0,21471000.0,20541000.0
Depreciation And Amortization In Income Statement,23600000.0,22800000.0,21600000.0,21471000.0,20541000.0
Research And Development,74100000.0,74800000.0,62300000.0,66673000.0,63047000.0
Selling General And Administration,197600000.0,186200000.0,176900000.0,173525000.0,175119000.0
Selling And Marketing Expense,125700000.0,116000000.0,110900000.0,107535000.0,104477000.0
General And Administrative Expense,71900000.0,70200000.0,66000000.0,65990000.0,70642000.0
Other Gand A,71900000.0,70200000.0,66000000.0,65990000.0,70642000.0
Gross Profit,407900000.0,396100000.0,445900000.0,410141000.0,363581000.0
Cost Of Revenue,85400000.0,87500000.0,84600000.0,83732000.0,88353000.0
Total Revenue,493300000.0,483600000.0,530500000.0,493873000.0,451934000.0
Operating Revenue,493300000.0,483600000.0,530500000.0,493873000.0,451934000.0
