,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-11697000.0,9996000.0,-51027284.468841,-2689458.689459,-6615000.0,
Tax Rate For Calcs,0.21,0.21,0.017759,0.018993,0.21,
Normalized EBITDA,855900000.0,530200000.0,556500000.0,481500000.0,937300000.0,
Total Unusual Items,-55700000.0,47600000.0,-2873300000.0,-141600000.0,-31500000.0,
Total Unusual Items Excluding Goodwill,-55700000.0,47600000.0,-2873300000.0,-141600000.0,-31500000.0,
Net Income From Continuing Operation Net Minority Interest,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Reconciled Depreciation,688500000.0,678300000.0,664700000.0,746200000.0,669700000.0,
Reconciled Cost Of Revenue,2388400000.0,2249200000.0,2093100000.0,2313100000.0,2292000000.0,
EBITDA,800200000.0,577800000.0,-2316800000.0,339900000.0,905800000.0,
EBIT,111700000.0,-100500000.0,-2981500000.0,-406300000.0,236100000.0,
Net Interest Income,-119600000.0,-116600000.0,-115500000.0,-120200000.0,-145600000.0,
Interest Expense,119600000.0,116600000.0,115500000.0,120200000.0,145600000.0,
Normalized Income,-84197000.0,-42204000.0,-219727284.468841,-377589458.689459,119685000.0,
Net Income From Continuing And Discontinued Operation,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Total Expenses,3525400000.0,3396700000.0,3263200000.0,3566300000.0,3493800000.0,
Total Operating Income As Reported,178800000.0,233000000.0,-2882200000.0,-179800000.0,225900000.0,
Diluted Average Shares,1164600000.0,1173000000.0,1192400000.0,1193600000.0,1200400000.0,
Basic Average Shares,1164600000.0,1173000000.0,1192400000.0,1193600000.0,1193500000.0,
Diluted EPS,-0.11,0.0,-2.55,-0.43,0.08,
Basic EPS,-0.11,0.0,-2.55,-0.43,0.08,
Diluted NI Availto Com Stockholders,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Net Income Common Stockholders,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Net Income,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Net Income Including Noncontrolling Interests,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Net Income Continuous Operations,-128200000.0,-4600000.0,-3042000000.0,-516500000.0,94800000.0,
Tax Provision,120300000.0,-212500000.0,-55000000.0,-10000000.0,-4300000.0,
Pretax Income,-7900000.0,-217100000.0,-3097000000.0,-526500000.0,90500000.0,
Other Income Expense,-122800000.0,-285900000.0,-2972600000.0,-368100000.0,-21300000.0,
Other Non Operating Income Expenses,-67100000.0,-333500000.0,-99300000.0,-226500000.0,10200000.0,
Special Income Charges,-55700000.0,47600000.0,-2873300000.0,-141600000.0,-31500000.0,
Other Special Charges,34600000.0,-9900000.0,70200000.0,115200000.0,4700000.0,
Impairment Of Capital Assets,0.0,0.0,2936800000.0,,,321000000.0
Restructuring And Mergern Acquisition,21100000.0,-37700000.0,-133700000.0,26400000.0,26800000.0,
Net Non Operating Interest Income Expense,-119600000.0,-116600000.0,-115500000.0,-120200000.0,-145600000.0,
Interest Expense Non Operating,119600000.0,116600000.0,115500000.0,120200000.0,145600000.0,
Operating Income,234500000.0,185400000.0,-8900000.0,-38200000.0,257400000.0,
Operating Expense,1137000000.0,1147500000.0,1170100000.0,1253200000.0,1201800000.0,
Research And Development,250400000.0,218800000.0,222000000.0,206500000.0,198400000.0,
Selling General And Administration,886600000.0,928700000.0,948100000.0,1046700000.0,1003400000.0,
Gross Profit,1371500000.0,1332900000.0,1161200000.0,1215000000.0,1459200000.0,
Cost Of Revenue,2388400000.0,2249200000.0,2093100000.0,2313100000.0,2292000000.0,
Total Revenue,3759900000.0,3582100000.0,3254300000.0,3528100000.0,3751200000.0,
Operating Revenue,6208300000.0,5974800000.0,5570200000.0,6010700000.0,6336000000.0,
