Date,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,revenue_growth,ocf_to_assets,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2020-01-02,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,-0.013884099281920692,,,,,,,,,,,,,,,,,,,-0.14716741230412822,-0.029433482460825645,-0.11773392984330258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,-0.0006736781206697628,-0.013884099281920692,,,,,,,,,,,,,,,,,,-0.2678340430356343,-0.07711359457578738,-0.19072044845984693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,-0.013212992469062712,-0.0006736781206697628,-0.013884099281920692,,,,,,,,,,,,,,,,,-0.4973374984913619,-0.1611583753589023,-0.33617912313245957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,0.008880946847525939,-0.013212992469062712,-0.0006736781206697628,-0.013884099281920692,,,,130.88353271484374,,,,,,1.9896434633392743,,,,,,-0.5799400199215086,-0.24491470427142353,-0.33502531565008503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,-0.002505612637857868,0.008880946847525939,-0.013212992469062712,-0.0006736781206697628,,,,130.3150604248047,,,,,0.009505282784251516,1.7936808249119167,,,,,,-0.6641040176321269,-0.32875256694356425,-0.33535145068856265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,-0.008010031666966677,-0.002505612637857868,0.008880946847525939,-0.013212992469062712,-0.013884099281920692,,,129.90724487304686,,,,,0.008309096790459247,1.6842224243826707,,,,,,-0.8055641363194752,-0.4241148808187465,-0.3814492555007287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,0.004721564444966075,-0.008010031666966677,-0.002505612637857868,0.008880946847525939,-0.0006736781206697628,,,129.6388916015625,,,,,0.009023283441296,1.553579682850574,,,,,,-0.8586301634072413,-0.5110179373364454,-0.3476122260707959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,-0.0009534385718531491,0.004721564444966075,-0.008010031666966677,-0.002505612637857868,-0.013212992469062712,,,129.6918518066406,,,,,0.006549844110025967,1.484725404529695,,,,,,-0.9002782422183202,-0.5888699983128204,-0.3114082439054998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,-0.007567495583575057,-0.0009534385718531491,0.004721564444966075,-0.008010031666966677,0.008880946847525939,,,129.31934509277343,130.1014389038086,,,,0.005242231921398662,1.3840973709169133,,1.686870417128094,,,,-1.0008106129366752,-0.6712581212375913,-0.32955249169908385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
