ticker,sector,industry,company_name
A,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
AAPL,Technology,Consumer Electronics,Apple Inc.
ABBV,Healthcare,Drug Manufacturers - General,AbbVie Inc.
ABNB,Consumer Cyclical,Travel Services,"Airbnb, Inc."
ABT,Healthcare,Medical Devices,Abbott Laboratories
ACGL,Financial Services,Insurance - Diversified,Arch Capital Group Ltd.
ACN,Technology,Information Technology Services,Accenture plc
ADBE,Technology,Software - Application,Adobe Inc.
ADI,Technology,Semiconductors,"Analog Devices, Inc."
ADM,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
ADP,Technology,Software - Application,"Automatic Data Processing, Inc."
ADSK,Technology,Software - Application,"Autodesk, Inc."
AEE,Utilities,Utilities - Regulated Electric,Ameren Corporation
AEP,Utilities,Utilities - Regulated Electric,"American Electric Power Company, Inc."
AES,Utilities,Utilities - Diversified,The AES Corporation
AFL,Financial Services,Insurance - Life,Aflac Incorporated
AIG,Financial Services,Insurance - Diversified,"American International Group, Inc."
AIZ,Financial Services,Insurance - Property & Casualty,"Assurant, Inc."
AJG,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
AKAM,Technology,Software - Infrastructure,"Akamai Technologies, Inc."
ALB,Basic Materials,Specialty Chemicals,Albemarle Corporation
ALGN,Healthcare,Medical Instruments & Supplies,"Align Technology, Inc."
ALL,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
ALLE,Industrials,Security & Protection Services,Allegion plc
AMAT,Technology,Semiconductor Equipment & Materials,"Applied Materials, Inc."
AMCR,Consumer Cyclical,Packaging & Containers,Amcor plc
AMD,Technology,Semiconductors,"Advanced Micro Devices, Inc."
AME,Industrials,Specialty Industrial Machinery,"AMETEK, Inc."
AMGN,Healthcare,Drug Manufacturers - General,Amgen Inc.
AMP,Financial Services,Asset Management,"Ameriprise Financial, Inc."
AMT,Real Estate,REIT - Specialty,American Tower Corporation
AMZN,Consumer Cyclical,Internet Retail,"Amazon.com, Inc."
ANET,Technology,Computer Hardware,Arista Networks Inc
AON,Financial Services,Insurance Brokers,Aon plc
