sector,split,accuracy,balanced_accuracy,f1_macro,f1_weighted,n_samples
Basic Materials,train,0.44733009708737864,0.44764465275612103,0.44657597677670374,0.44644821626166936,4120
Basic Materials,testing_tscv_oof,0.38441176470588234,0.3833185869645635,0.37918986616967754,0.38002319737785617,3400
Basic Materials,testing_tscv_fold_mean,0.38441176470588234,0.38641921807793,0.36060560369969064,0.3599715299347116,3400
Basic Materials,validation_out_of_sample,0.38636363636363635,0.38987108231356743,0.3618596851356321,0.36068283973230847,880
Communication Services,train,0.4345631067961165,0.424983584691087,0.4173487410046362,0.42320026598329297,5150
Communication Services,testing_tscv_oof,0.36376470588235293,0.35753681822122346,0.3562278974178345,0.36080767902521116,4250
Communication Services,testing_tscv_fold_mean,0.36376470588235293,0.3511027837466945,0.30488804325559643,0.3142071246789457,4250
Communication Services,validation_out_of_sample,0.4036363636363636,0.39049165559917715,0.36878086507244373,0.37621209810631195,1100
Consumer Cyclical,train,0.42815533980582526,0.4268707514036854,0.4251342271866186,0.4259169669698918,11330
Consumer Cyclical,testing_tscv_oof,0.38032085561497325,0.37615593387651386,0.36794991415126005,0.3700139370395599,9350
Consumer Cyclical,testing_tscv_fold_mean,0.3803208556149733,0.3690267302105311,0.32922809605291614,0.3355728988173219,9350
Consumer Cyclical,validation_out_of_sample,0.3504132231404959,0.3548090609414705,0.3350891496186102,0.33361919832887266,2420
Consumer Defensive,train,0.42823405930202046,0.427971296178906,0.4280345737685969,0.42811710241931683,7622
Consumer Defensive,testing_tscv_oof,0.3618441971383148,0.36190105607118306,0.35896642121377415,0.3588317962347204,6290
Consumer Defensive,testing_tscv_fold_mean,0.3618441971383147,0.36269360425458863,0.3436662637763222,0.34412774669929946,6290
Consumer Defensive,validation_out_of_sample,0.37223587223587223,0.37132576622192265,0.37070843650979773,0.37197504497756073,1628
Energy,train,0.4382171226831421,0.432618358000257,0.4310415362553708,0.4343755123359426,4532
Energy,testing_tscv_oof,0.3574866310160428,0.34004888207497336,0.32830522778091625,0.3384096151342144,3740
Energy,testing_tscv_fold_mean,0.3574866310160428,0.3383506988129788,0.31228951157997364,0.3246919669491652,3740
Energy,validation_out_of_sample,0.36673553719008267,0.36474258747919697,0.3100341130604289,0.3147284145280557,968
Financial Services,train,0.4269734065006332,0.4196634622491899,0.41289191858707247,0.41773964255207713,14214
Financial Services,testing_tscv_oof,0.38567774936061383,0.37368363524173726,0.36435019791983,0.3712160533272907,11730
Financial Services,testing_tscv_fold_mean,0.38567774936061383,0.3689698988797788,0.33188246758966883,0.3431765987715599,11730
Financial Services,validation_out_of_sample,0.3554018445322793,0.34777369883696124,0.3021568331265703,0.30976915816028755,3036
Healthcare,train,0.41828478964401294,0.4173337826302279,0.4162534747384019,0.41679434238537744,12360
Healthcare,testing_tscv_oof,0.3543137254901961,0.35047824410425393,0.34854477398364864,0.35106332376722493,10200
Healthcare,testing_tscv_fold_mean,0.35431372549019613,0.3499256270174752,0.3181360254056082,0.3226586267523987,10200
Healthcare,validation_out_of_sample,0.3571969696969697,0.35287908911187715,0.3318174502720594,0.33476820480213687,2640
Industrials,train,0.42354368932038833,0.42227112338807093,0.4209900552527442,0.42197543886928673,14832
Industrials,testing_tscv_oof,0.38325163398692813,0.3743176944218117,0.3592200751646884,0.3639656333557137,12240
Industrials,testing_tscv_fold_mean,0.3832516339869281,0.36087497871343677,0.3070984381184672,0.3213268365659962,12240
Industrials,validation_out_of_sample,0.3680555555555556,0.36537768756995187,0.34519619123900397,0.3469050710081262,3168
Real Estate,train,0.4151268399624178,0.4139196550522968,0.4103500512303824,0.4111093626578777,6386
Real Estate,testing_tscv_oof,0.34573055028462996,0.34184675723913793,0.3357232576161942,0.33797335798265465,5270
Real Estate,testing_tscv_fold_mean,0.34573055028463,0.34508158565366664,0.2937807423489577,0.2945495802011596,5270
Real Estate,validation_out_of_sample,0.3460410557184751,0.3427431878274158,0.3114166077413774,0.3129054977035088,1364
Technology,train,0.4468416636701426,0.4430267858380557,0.4395630984102363,0.4418641501746112,16686
Technology,testing_tscv_oof,0.39636891793754536,0.39006284596283863,0.3774529618489087,0.38143632716648107,13770
Technology,testing_tscv_fold_mean,0.3963689179375454,0.3826173393188406,0.3434619355113611,0.35119106511153125,13770
Technology,validation_out_of_sample,0.40852974186307517,0.3990868307326136,0.38674306083902016,0.3933131626565366,3564
Utilities,train,0.42358283745693703,0.4143934834493921,0.4010519590361396,0.4072552242471593,6386
Utilities,testing_tscv_oof,0.3548387096774194,0.3468220324684421,0.3406432135087607,0.3468433970418957,5270
Utilities,testing_tscv_fold_mean,0.3548387096774194,0.33802727936534493,0.2984395187917345,0.3102349099069814,5270
Utilities,validation_out_of_sample,0.4046920821114369,0.37974459039576725,0.3446441796624092,0.35674662374557586,1364
